datetime,power
2018-01-02 08:30:00,1936.1702127659576
2018-01-02 08:45:00,1976.4539007092199
2018-01-02 09:00:00,1998.6666666666667
2018-01-02 09:15:00,1989.5890410958905
2018-01-02 09:30:00,2027.0050761421319
2018-01-02 09:45:00,2150.198675496689
2018-01-02 10:00:00,1983.841059602649
2018-01-02 10:15:00,2042.5870646766168
2018-01-02 10:30:00,1973.0666666666666
2018-01-02 10:45:00,1976.9127516778524
2018-01-02 11:00:00,1980.0
2018-01-02 11:15:00,2008.2828282828282
2018-01-02 11:30:00,1952.4324324324325
2018-01-02 11:45:00,1912.317880794702
2018-01-02 12:00:00,1967.6712328767123
2018-01-02 12:15:00,1986.930693069307
2018-01-02 12:30:00,2055.733333333333
2018-01-02 12:45:00,1946.4
2018-01-02 13:00:00,2229.753694581281
